#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Season
29,Fulham FC,Premier League,€72.20m,20,€21.90m,21,€-50.30m,2022/2023
30,Inter Milan,Serie A,€70.18m,50,€23.00m,46,€-47.18m,2022/2023
31,Udinese Calcio,Serie A,€68.50m,30,€61.80m,28,€-6.70m,2022/2023
32,RB Leipzig,Bundesliga,€59.50m,26,€75.82m,25,€16.32m,2022/2023
33,AC Milan,Serie A,€56.67m,30,€11.25m,28,€-45.42m,2022/2023
34,Brighton & Hove Albion,Premier League,€55.70m,21,€137.90m,23,€82.20m,2022/2023
35,Real Sociedad,LaLiga,€55.00m,18,€80.50m,16,€25.50m,2022/2023
36,Sporting CP,Liga Portugal,€53.27m,34,€131.80m,27,€78.53m,2022/2023
37,FC Porto,Liga Portugal,€51.90m,17,€86.05m,17,€34.15m,2022/2023
38,US Sassuolo,Serie A,€51.28m,46,€68.84m,51,€17.56m,2022/2023
39,Club Brugge KV,Jupiler Pro League,€50.90m,22,€68.29m,21,€17.39m,2022/2023
40,Brentford FC,Premier League,€49.25m,23,€3.60m,21,€-45.65m,2022/2023
41,Leicester City,Premier League,€49.00m,10,€81.40m,9,€32.40m,2022/2023
42,US Salernitana 1919,Serie A,€48.37m,47,€21.50m,53,€-26.87m,2022/2023
43,AC Monza,Serie A,€47.15m,33,€185k,34,€-46.97m,2022/2023
44,Galatasaray,Süper Lig,€46.94m,43,€15.50m,43,€-31.44m,2022/2023
45,Crystal Palace,Premier League,€46.60m,14,€5.46m,12,€-41.15m,2022/2023
46,RC Lens,Ligue 1,€43.94m,22,€51.55m,16,€7.61m,2022/2023
47,Fenerbahce,Süper Lig,€43.76m,29,€29.90m,31,€-13.86m,2022/2023
48,AS Monaco,Ligue 1,€43.50m,20,€156.20m,21,€112.70m,2022/2023
49,Burnley FC,Championship,€43.20m,31,€76.46m,30,€33.26m,2022/2023
50,SS Lazio,Serie A,€41.65m,36,€42.35m,37,€698k,2022/2023
